age,county,count,sex
65-66,Windsor,683,1
65-66,Washington,552,1
65-66,Grand Isle,86,1
65-66,Lamoille,247,1
65-66,Orange,293,1
65-66,Bennington,408,1
65-66,Orleans,331,1
65-66,Chittenden,1197,1
65-66,Essex,87,2
65-66,Franklin,447,2
65-66,Caledonia,309,2
65-66,Addison,327,2
65-66,Rutland,750,2
65-66,Windham,525,2
65-66,Windsor,739,2
65-66,Washington,568,2
65-66,Grand Isle,76,2
65-66,Lamoille,237,2
65-66,Orange,332,2
65-66,Bennington,477,2
65-66,Orleans,345,2
65-66,Chittenden,1295,2
67-69,Essex,128,1
67-69,Franklin,540,1
67-69,Caledonia,430,1
67-69,Addison,444,1
67-69,Rutland,882,1
67-69,Windham,647,1
67-69,Windsor,949,1
67-69,Washington,730,1
67-69,Grand Isle,120,1
67-69,Lamoille,307,1
67-69,Orange,430,1
67-69,Bennington,558,1
67-69,Orleans,472,1
67-69,Chittenden,1444,1
67-69,Essex,108,2
67-69,Franklin,538,2
67-69,Caledonia,422,2
67-69,Addison,504,2
67-69,Rutland,941,2
67-69,Windham,706,2
67-69,Windsor,910,2
67-69,Washington,804,2
67-69,Grand Isle,96,2
67-69,Lamoille,319,2
67-69,Orange,400,2
67-69,Bennington,622,2
67-69,Orleans,447,2
67-69,Chittenden,1673,2
70-74,Essex,148,1
70-74,Franklin,626,1
70-74,Caledonia,500,1
70-74,Addison,539,1
70-74,Rutland,1057,1
70-74,Windham,772,1
70-74,Windsor,1058,1
70-74,Washington,933,1
70-74,Grand Isle,128,1
70-74,Lamoille,372,1
70-74,Orange,463,1
70-74,Bennington,706,1
70-74,Orleans,529,1
70-74,Chittenden,1703,1
70-74,Essex,133,2
70-74,Franklin,646,2
70-74,Caledonia,539,2
70-74,Addison,584,2
70-74,Rutland,1222,2
70-74,Windham,800,2
70-74,Windsor,1191,2
70-74,Washington,1019,2
70-74,Grand Isle,124,2
70-74,Lamoille,391,2
70-74,Orange,513,2
70-74,Bennington,791,2
70-74,Orleans,541,2
70-74,Chittenden,2120,2
75-79,Essex,112,1
75-79,Franklin,453,1
75-79,Caledonia,365,1
75-79,Addison,395,1
75-79,Rutland,796,1
75-79,Windham,567,1
75-79,Windsor,783,1
75-79,Washington,664,1
75-79,Grand Isle,76,1
75-79,Lamoille,279,1
75-79,Orange,382,1
75-79,Bennington,576,1
75-79,Orleans,344,1
75-79,Chittenden,1316,1
75-79,Essex,130,2
75-79,Franklin,598,2
75-79,Caledonia,464,2
75-79,Addison,454,2
75-79,Rutland,1011,2
75-79,Windham,667,2
75-79,Windsor,935,2
75-79,Washington,890,2
75-79,Grand Isle,83,2
75-79,Lamoille,287,2
75-79,Orange,397,2
75-79,Bennington,717,2
75-79,Orleans,436,2
75-79,Chittenden,1783,2
80-84,Essex,68,1
80-84,Franklin,340,1
80-84,Caledonia,289,1
80-84,Addison,280,1
80-84,Rutland,570,1
80-84,Windham,423,1
80-84,Windsor,595,1
80-84,Washington,478,1
80-84,Grand Isle,39,1
80-84,Lamoille,192,1
80-84,Orange,236,1
80-84,Bennington,443,1
80-84,Orleans,289,1
80-84,Chittenden,941,1
80-84,Essex,93,2
80-84,Franklin,485,2
80-84,Caledonia,435,2
80-84,Addison,424,2
80-84,Rutland,880,2
80-84,Windham,562,2
80-84,Windsor,773,2
80-84,Washington,682,2
80-84,Grand Isle,72,2
80-84,Lamoille,237,2
80-84,Orange,319,2
80-84,Bennington,632,2
80-84,Orleans,384,2
80-84,Chittenden,1622,2
85+,Essex,43,1
85+,Franklin,235,1
85+,Caledonia,234,1
85+,Addison,250,1
85+,Rutland,438,1
85+,Windham,332,1
