Year,Cnty,AGIClss,Return,Exempt,MarJnt,Single,MarSep,HdHous,AGI,FedTI,VTI,NetVTax
2005,Orange,50000 - 59999,1029.0,2570.0,761.0,193.0,14.0,61.0,56524169.0,36811684.0,36318592.0,1353726.7175
2005,Orange,60000 - 74999,1234.0,3269.0,1019.0,167.0,9.0,39.0,82860038.0,57370595.0,56855694.0,2149423.9886000003
2005,Orange,75000 - 99999,1010.0,2833.0,902.0,82.0,7.0,19.0,86563052.0,62656851.0,61531210.0,2642947.2523000003
2005,Orange,100000 - 149999,579.0,1577.0,504.0,58.0,4.0,13.0,68879313.0,52557030.0,50699918.0,2578699.3497
2005,Orange,150000 +,315.0,813.0,259.0,41.0,1.0,14.0,93107041.0,79415955.0,69337894.0,4582879.8126
2005,Orleans,Loss or None,231.0,360.0,103.0,124.0,0.0,4.0,-5868447.0,0.0,902.0,69.0
2005,Orleans,0.01 - 4999,1453.0,1426.0,219.0,1145.0,11.0,78.0,3687935.0,90229.0,74786.0,2853.9064
2005,Orleans,5000 - 9999,1384.0,1651.0,245.0,1022.0,14.0,103.0,10271391.0,809186.0,801281.0,28376.6241
2005,Orleans,10000 - 14999,1171.0,1967.0,252.0,724.0,17.0,178.0,14642784.0,3081696.0,3035835.0,104194.8769
2005,Orleans,15000 - 19999,1216.0,2224.0,391.0,622.0,23.0,180.0,21190440.0,6117544.0,6063702.0,207848.0424
2005,Orleans,20000 - 24999,1083.0,1972.0,322.0,564.0,28.0,169.0,24229274.0,10253657.0,10116554.0,355281.3177999999
2005,Orleans,25000 - 29999,904.0,1784.0,349.0,418.0,19.0,118.0,24814887.0,11801778.0,11694750.0,410146.21470000007
2005,Orleans,30000 - 34999,795.0,1657.0,363.0,325.0,15.0,92.0,25850292.0,13479246.0,13335709.0,469906.8738
2005,Orleans,35000 - 39999,655.0,1461.0,352.0,233.0,16.0,54.0,24555419.0,13837655.0,13665614.0,482903.2893
2005,Orleans,40000 - 44999,561.0,1277.0,344.0,167.0,9.0,41.0,23810384.0,14313885.0,14153670.0,517439.92140000005
2005,Orleans,45000 - 49999,537.0,1339.0,375.0,123.0,3.0,36.0,25492348.0,15574840.0,15367616.0,572010.8171000001
2005,Orleans,50000 - 59999,820.0,2149.0,658.0,123.0,9.0,30.0,44938652.0,29023747.0,28670551.0,1058520.3454
2005,Orleans,60000 - 74999,755.0,2023.0,654.0,73.0,8.0,20.0,50183532.0,34710378.0,34163963.0,1268095.9157000002
2005,Orleans,75000 - 99999,611.0,1701.0,550.0,51.0,3.0,7.0,51923775.0,38147080.0,37337219.0,1574492.0413
2005,Orleans,100000 - 149999,335.0,873.0,297.0,35.0,0.0,3.0,39839555.0,31155246.0,29638970.0,1498434.8184
2005,Orleans,150000 +,209.0,552.0,178.0,23.0,4.0,4.0,64969446.0,54899338.0,49833870.0,3425905.4452000004
2005,Rutland,Loss or None,361.0,505.0,117.0,228.0,7.0,9.0,-7747753.0,296.0,296.0,1296.0
2005,Rutland,0.01 - 4999,3040.0,2457.0,275.0,2579.0,22.0,164.0,8045169.0,217962.0,216894.0,8472.8528
2005,Rutland,5000 - 9999,3078.0,3223.0,376.0,2422.0,29.0,251.0,22864565.0,2189497.0,2151887.0,75207.44060000003
2005,Rutland,10000 - 14999,2825.0,4091.0,468.0,1992.0,37.0,328.0,35253309.0,8474100.0,8336533.0,283544.3028999999
2005,Rutland,15000 - 19999,2574.0,4025.0,574.0,1625.0,44.0,331.0,45010107.27,15701140.0,15468109.0,531200.0772
2005,Rutland,20000 - 24999,2384.0,3914.0,572.0,1421.0,61.0,330.0,53578410.0,24401050.0,24240871.0,835965.9749999995
2005,Rutland,25000 - 29999,2066.0,3569.0,564.0,1166.0,42.0,294.0,56659481.0,29744368.0,29345015.0,1009922.2155999995
2005,Rutland,30000 - 34999,1688.0,3141.0,614.0,851.0,36.0,187.0,54748086.0,30770254.0,30560233.0,1065834.1803999995
2005,Rutland,35000 - 39999,1516.0,3019.0,669.0,682.0,25.0,140.0,56738777.0,33580797.0,33701050.0,1189726.0915
2005,Rutland,40000 - 44999,1333.0,2821.0,678.0,493.0,30.0,132.0,56511764.0,34779254.03,34458084.03,1233391.3975
2005,Rutland,45000 - 49999,1219.0,2727.0,687.0,391.0,9.0,132.0,57901934.0,37061193.0,36572489.0,1348629.9965
2005,Rutland,50000 - 59999,2088.0,4906.0,1405.0,552.0,18.0,113.0,114488475.0,76029053.0,75106069.0,2834393.7551
2005,Rutland,60000 - 74999,2329.0,6021.0,1857.0,378.0,20.0,74.0,156657940.0,109218340.0,107911529.0,4130376.2391
