Year,County,Cnt_Return,Cnt_Exempt,Cnt_MarJnt,Cnt_Single,Cnt_MarSep,Cnt_HdHous,Cnt_OthCrd,Cnt_Wthhld,Cnt_Estmt,Cnt_Adjstd,Cnt_NoTax,Cnt_EIC,Dol_AGI,Dol_FedTI,Dol_VTI,Dol_AdjVTx,Dol_OthCrd,Dol_NetVTax,Dol_EIC,Dol_AdjAGI
2011,Windsor,28963,51992,11857,14128,524,2454,1085,22802,3808,1118,7002,3887,1561271499,1087799745,1084896179,55140957.75,2932376.765,52208580.99,2182550,25441.73027
2011,Suppressed,176,323,85,79,4,8,32,105,18,16,75,20,6565940,5168310,5446247,254945.8781,28695.478,226250.4001,6748,21676.60062
2012,Addison,18137,33098,7546,8909,270,1412,744,14879,2145,520,4084,2412,1000297460,687979444,688720937,34386386.31,2007130.754,32379255.56,1389273,25883.06068
2012,Bennington,17913,32459,7078,8793,338,1704,2256,13424,2191,557,5172,2994,967561991.1,657231990,672243443,34844248.56,4962724.41,29881524.15,1893210,24274.24986
2012,Caledonia,14227,26811,5970,6637,233,1387,351,11521,1253,384,3806,2746,627288232,404712592,400168044,18707433.47,743273.1688,17964160.3,1734559,21112.143
2012,Chittenden,77985,138262,29471,41831,1085,5598,3818,68383,8884,2867,13826,7815,5459710612,3956000112,3985140035,217816149.3,8503935.88,209312213.4,4350191,30500.22877
2012,Essex,2779,5133,1240,1222,55,262,58,2127,199,96,868,611,95816007.01,55724609,55663390,2215036.993,52427,2162609.993,389522,18418.60433
2012,Franklin,23354,45025,9830,10806,315,2403,587,20446,1450,623,4940,3707,1167074444,776329084,777104725,35762201.74,1195575.712,34566626.03,2360205,24031.89328
2012,Grand Isle,3791,6893,1705,1754,66,266,232,3173,479,99,804,500,230638246,159651860,160963216,8343964.123,438239.101,7905725.022,294082,27807.98869
2012,Lamoille,12784,22976,4893,6509,207,1175,470,10632,1428,387,3043,2030,739542075.5,506733799.6,535723518.6,29556272.5,1544247.827,28012024.68,1194652,24576.84486
2012,Orange,14760,27060,6128,6966,261,1405,390,12015,1494,394,3475,2341,698060325.1,460383089,463676488,20949631.45,621617.3298,20328014.12,1424474,23889.23903
2012,Orleans,13223,24474,5433,6212,242,1336,318,10650,1065,347,3850,2646,531376992.1,335158136,333964772,14997774.27,594367.7321,14403406.54,1754223,20164.41644
2012,Rutland,32239,56121,12163,16823,542,2711,1472,27012,2843,905,8058,5095,1481508344,977636768,985825150,45794368.92,2020623.773,43773745.14,2966554,24146.92508
2012,Washington,29495,53011,11668,14691,524,2612,1055,24894,3206,838,6219,3919,1607403678,1106154907,1113725683,54386638.57,2259313.165,52127325.41,2209287,26639.73729
2012,Windham,21751,38512,8224,11091,406,2030,1636,16918,2815,745,5659,3753,1072669776,716328450,724262205,36128415.99,3190841.192,32937574.8,2183564,24119.66233
2012,Windsor,28706,51358,11647,14068,539,2452,1131,22698,3735,979,6857,3911,1554804929,1074557423,1091722976,54603130.51,2798177.202,51804953.31,2290565,26154.25452
2012,Suppressed,1361,1698,319,905,71,66,51,1079,79,133,517,86,31209946.31,27255397.52,26046838.52,1184287.437,48616,1135671.437,37310,22446.18393
