Year,Cnty,Return,Exempt,MarJnt,Single,MarSep,HdHous,AGI,FedTI,VTI,NetVTax
2009,Orange,14466.0,26931.0,6195.0,6722.0,254.0,1295.0,638949359.01,407819512.0,410821065.0,18432958.10930001
2009,Orleans,12880.0,24464.0,5582.0,5932.0,185.0,1181.0,459886921.01,273897440.0,276496671.0,11784380.7965
2009,Rutland,31411.0,56228.0,12457.0,15898.0,456.0,2600.0,1332517887.02,840296417.3,849773134.29,37291367.6226
2009,Washington,29223.0,53418.0,11854.0,14336.0,452.0,2581.0,1432452998.03,950544189.02,964326874.02,44500495.5162
2009,Windham,22003.0,39574.0,8541.0,10992.0,421.0,2049.0,952847808.01,604965013.01,611868834.01,26002685.74630001
2009,Windsor,28708.0,52349.0,12031.0,13785.0,488.0,2404.0,1404164379.03,922150791.0,936635706.0,43472842.69780005
2009,Suppressed,199.0,385.0,113.0,78.0,2.0,6.0,26407609.0,24652724.0,19958408.0,1411341.2205
2010,Addison,17706.0,33237.0,7672.0,8374.0,248.0,1412.0,871261491.01,581102235.0,583310197.0,26426541.282400005
2010,Bennington,17924.0,32894.0,7298.0,8633.0,314.0,1679.0,904699587.27,598988240.0,610421582.0,24303395.28639999
2010,Caledonia,14213.0,27247.0,6127.0,6535.0,197.0,1354.0,577778883.01,360390751.0,363193388.0,15826662.597999996
2010,Chittenden,76078.0,137184.0,29439.0,40032.0,1058.0,5549.0,4780329005.469999,3355627617.79,3420811415.01,172037112.34390023
2010,Essex,2877.0,5358.0,1270.0,1298.0,42.0,267.0,91853604.0,52258129.0,52116634.0,2002993.263
2010,Franklin,22923.0,45140.0,9959.0,10273.0,301.0,2390.0,1065290798.0,693069041.0,698784124.0,30379777.59819997
2010,Grand Isle,3696.0,6882.0,1710.0,1656.0,64.0,266.0,206332709.0,139095878.0,141371964.0,6578948.895100002
2010,Lamoille,12331.0,22764.0,4911.0,6087.0,194.0,1139.0,650853700.01,435981776.0,450182225.0,21407556.5329
2010,Orange,14553.0,27190.0,6217.0,6725.0,249.0,1362.0,669529895.38,434708993.0,438218360.0,18769880.16559999
2010,Orleans,13023.0,24538.0,5530.0,6019.0,212.0,1262.0,491547334.7,303211389.28,306369207.28,12547374.852600005
2010,Rutland,31936.0,56831.0,12446.0,16364.0,463.0,2663.0,1374716745.02,883410684.76,893144759.76,38392704.50379999
2010,Washington,29516.0,53785.0,11874.0,14557.0,436.0,2649.0,1489146143.76,1005470170.01,1018961833.01,46559459.67119997
2010,Windham,21961.0,39431.0,8484.0,10992.0,436.0,2049.0,973475909.56,634572983.55,643347220.55,27275855.7677
2010,Windsor,28772.0,52311.0,11925.0,13837.0,543.0,2467.0,1495090018.01,1010766175.0,1024706485.0,47917487.50980013
2010,Suppressed,166.0,309.0,81.0,71.0,5.0,9.0,6788051.0,5576119.0,5771643.0,268416.54000000004
2011,Addison,18076.0,33374.0,7617.0,8772.0,251.0,1436.0,923847284.04,623807096.0,624788655.01,28589711.5759
2011,Bennington,17958.0,32794.0,7218.0,8744.0,322.0,1674.0,944514482.02,638389328.0,650866064.0,28684550.8605
2011,Caledonia,14315.0,27086.0,6068.0,6674.0,224.0,1349.0,589243953.03,367499250.0,370850706.0,15852504.801899996
2011,Chittenden,77102.0,137701.0,29455.0,40998.0,1031.0,5618.0,5101836473.930004,3642093496.68,3702300260.68,187361044.36729988
2011,Essex,2856.0,5308.0,1271.0,1284.0,43.0,258.0,102750903.0,61577715.0,61610027.0,2599015.4253
2011,Franklin,23221.0,45203.0,9923.0,10590.0,358.0,2350.0,1113812510.0,735272739.0,738970707.0,32451292.80939999
2011,Grand Isle,3771.0,6892.0,1703.0,1735.0,72.0,261.0,212880866.0,144803446.0,147428066.0,6986553.9608
2011,Lamoille,12593.0,22979.0,4892.0,6355.0,219.0,1127.0,670709105.05,455374423.0,469007952.0,23312784.59910001
2011,Orange,14620.0,27021.0,6149.0,6865.0,241.0,1365.0,665690157.14,435366259.0,437124708.0,19182797.5964
2011,Orleans,13105.0,24518.0,5543.0,6048.0,221.0,1293.0,507642001.16,310635465.0,311416686.0,13120316.872100005
2011,Rutland,32047.0,56308.0,12282.0,16628.0,480.0,2657.0,1434748354.05,941830043.98,949351429.98,41737002.59159998
2011,Washington,29514.0,53365.0,11765.0,14733.0,467.0,2549.0,1600699545.2099998,1095764261.55,1114076071.06,53778822.72579999
2011,Windham,21948.0,39085.0,8389.0,11115.0,419.0,2025.0,1006643944.02,663790665.01,671607198.01,29006281.427499995
2011,Windsor,28963.0,51992.0,11857.0,14128.0,524.0,2454.0,1561271499.42,1087799744.54,1084896178.54,52208580.9868
2011,Suppressed,176.0,323.0,85.0,79.0,4.0,8.0,6565940.0,5168310.0,5446247.0,226250.40010000003
2012,Addison,18137.0,33098.0,7546.0,8909.0,270.0,1412.0,1000297459.52,687979443.9599999,688720936.9599999,32379255.5598
2012,Bennington,17913.0,32459.0,7078.0,8793.0,338.0,1704.0,967561991.11,657231989.97,672243442.97,29881524.14870001
2012,Caledonia,14227.0,26811.0,5970.0,6637.0,233.0,1387.0,627288232.02,404712592.0,400168044.0,17964160.297600012
2012,Chittenden,77985.0,138262.0,29471.0,41831.0,1085.0,5598.0,5459710611.950003,3956000112.05,3985140035.05,209312213.40319985
2012,Essex,2779.0,5133.0,1240.0,1222.0,55.0,262.0,95816007.01,55724609.0,55663390.0,2162609.9932000004
2012,Franklin,23354.0,45025.0,9830.0,10806.0,315.0,2403.0,1167074444.08,776329084.0,777104725.0,34566626.02910002
2012,Grand Isle,3791.0,6893.0,1705.0,1754.0,66.0,266.0,230638246.02,159651860.0,160963216.0,7905725.021999997
2012,Lamoille,12784.0,22976.0,4893.0,6509.0,207.0,1175.0,739542075.54,506733799.56,535723518.56,28012024.676
2012,Orange,14760.0,27060.0,6128.0,6966.0,261.0,1405.0,698060325.0799999,460383089.01,463676488.01,20328014.11580003
2012,Orleans,13223.0,24474.0,5433.0,6212.0,242.0,1336.0,531376992.06,335158136.0,333964772.0,14403406.536300013
2012,Rutland,32239.0,56121.0,12163.0,16823.0,542.0,2711.0,1481508343.6799998,977636768.0,985825150.0,43773745.14210006
2012,Washington,29495.0,53011.0,11668.0,14691.0,524.0,2612.0,1607403678.3299994,1106154906.52,1113725682.88,52127325.4059
2012,Windham,21751.0,38512.0,8224.0,11091.0,406.0,2030.0,1072669775.52,716328450.0,724262205.0,32937574.80210001
2012,Windsor,28706.0,51358.0,11647.0,14068.0,539.0,2452.0,1554804929.4899998,1074557422.88,1091722975.88,51804953.30890004
2012,Suppressed,1361.0,1698.0,319.0,905.0,71.0,66.0,31209946.31,27255397.52,26046838.52,1135671.4368
2013,Addison,18162.0,32678.0,7452.0,9060.0,276.0,1374.0,999312888.58,675197318.18,679253854.18,31273429.26
2013,Bennington,17752.0,32013.0,6961.0,8771.0,283.0,1737.0,980891958.26,660729913.96,673840039.96,30255570.92
2013,Caledonia,14130.0,26365.0,5891.0,6634.0,201.0,1404.0,631213209.15,402509764.16,402417225.16,17704238.97
2013,Chittenden,78173.0,137531.0,29460.0,41973.0,1096.0,5644.0,5507446767.73,4004772469.36,4069200031.16,211435188.73
2013,Essex,2525.0,4608.0,1095.0,1137.0,51.0,242.0,86341795.02,49651299.01,49439808.01,1879791.15
2013,Franklin,23527.0,44904.0,9834.0,10919.0,339.0,2435.0,1198094152.17,800670179.0,803015544.0,35279595.42
2013,Grand Isle,3746.0,6771.0,1675.0,1730.0,60.0,281.0,230119170.9,159612153.0,161485589.0,7733244.0
2013,Lamoille,12896.0,22913.0,4869.0,6641.0,239.0,1147.0,756176279.01,514609326.9,527380882.9,26741141.37
2013,Orange,14790.0,26858.0,6063.0,7075.0,257.0,1395.0,706035037.59,467414362.0,469488254.0,20954749.03
2013,Orleans,13114.0,24061.0,5348.0,6237.0,207.0,1322.0,528684980.53,329961365.38,330789038.38,14310775.41
2013,Rutland,32205.0,55554.0,11965.0,16960.0,507.0,2773.0,1510571507.5,1003294188.52,1010612330.52,44385565.81
2013,Washington,29197.0,52236.0,11509.0,14617.0,518.0,2553.0,1717665857.88,1208381440.82,1217437078.2,56073063.06
2013,Windham,21576.0,37950.0,8103.0,11000.0,383.0,2090.0,1062606172.17,704962660.01,713601226.01,31159957.69
2013,Windsor,28789.0,51063.0,11547.0,14171.0,529.0,2542.0,1596669456.31,1093439298.62,1114514726.62,52062681.54
2013,Suppressed,3427.0,4561.0,1004.0,2158.0,104.0,161.0,109336170.91,91238598.02,92435070.02,4506815.01
2014,Addison,18532.0,32889.0,7465.0,9394.0,312.0,1361.0,1074042179.88,739180695.73,742712435.73,35208280.41020001
2014,Bennington,18012.0,32339.0,6938.0,8895.0,316.0,1863.0,1046812685.3199996,714229561.7,728008131.7,32275207.4531
2014,Caledonia,14296.0,26512.0,5873.0,6719.0,231.0,1473.0,662733944.3,429402377.45,429431620.45,19019627.4681
2014,Chittenden,79291.0,138193.0,29481.0,43107.0,1130.0,5573.0,6005070096.340011,4443244639.21,4474810310.21,238657195.72460058
2014,Essex,2786.0,5075.0,1196.0,1259.0,55.0,276.0,108946395.24,67320930.38,67191794.38,3007931.7121999986
2014,Franklin,23960.0,45368.0,9893.0,11200.0,387.0,2480.0,1257132415.07,847666444.74,847923365.74,37893126.622400016
